Oncorhynchus_mykiss_1079569,Oncorhynchus mykiss,8022,ONCOMYKI0
O_hannah_32423811,Ophiophagus hannah,8665,OPHIHANN0
O_hannah_28972960,Ophiophagus hannah,8665,OPHIHANN0
O_hannah_225547743,Ophiophagus hannah,8665,OPHIHANN0
O_hannah_126035667,Ophiophagus hannah,8665,OPHIHANN0
O_hannah_126035643,Ophiophagus hannah,8665,OPHIHANN0
O_hannah_124007158,Ophiophagus hannah,8665,OPHIHANN0
Oh_CRISP_g1,Ophiophagus hannah,8665,OPHIHANN0
Oh_CRISP_g2,Ophiophagus hannah,8665,OPHIHANN0
Oh_CRISP_g3,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene1_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene1_s799,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene1_s235,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene1_3522,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene1_s3444,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene10_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene10_8808,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene11_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene12_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene13_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene14_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene15_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene16_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene17_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene18_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene19_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene2_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene2_3522,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene2_s2616,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene2_s3444,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene20_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene21_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene22_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene23_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene3_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene3_s1516,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene3_s12849,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene3_s3444,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene4_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene4_s5579,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene4_s526380,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene4_7459,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene4_s142,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene5_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene5_unknown,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene5_7459,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene6_7459,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene7_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene7_7459,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene8_8157,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene9_ex2,Ophiophagus hannah,8665,OPHIHANN0
Oh_gene9_8808,Ophiophagus hannah,8665,OPHIHANN0
Oh_s11029_gene2,Ophiophagus hannah,8665,OPHIHANN0
Oh_s1163_gene2,Ophiophagus hannah,8665,OPHIHANN0
Oh_s1163_gene1,Ophiophagus hannah,8665,OPHIHANN0
Oh_s1289_gene1,Ophiophagus hannah,8665,OPHIHANN0
Oh_VG_contig33924,Ophiophagus hannah,8665,OPHIHANN0
Oh_VG_contig51250,Ophiophagus hannah,8665,OPHIHANN0
Oh_VG_contig51552,Ophiophagus hannah,8665,OPHIHANN0
Ophisaurus_apodus_300872912,Pseudopus apodus,672774,PSEUAPOD0
O_cuniculus_291396348,Oryctolagus cuniculus,9986,ORYCCUNI0
